MANDT,QMNUM,QMART,QMTXT,ARTPR,PRIOK,ERNAM,ERDAT,AENAM,AEDAT,MZEIT,QMDAT,QMNAM,STRMN,STRUR,LTRMN,LTRUR,WAERS,AUFNR,VERID
800,000000000001,F3,,QM,,VAN DIJK,02.06.1995,BARTHEL,20.12.1996,18:31:41,02.06.1995,VAN DIJK,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000002,F3,,QM,,JENNER,15.08.1995,BARTHEL,20.12.1996,09:50:55,15.08.1995,JENNER,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000003,Q1,,QM,,RICKAYZEN,20.11.1995,,00.00.0000,11:21:04,20.11.1995,RICKAYZEN,20.11.1995,11:21:04,00.00.0000,00:00:00,,,
800,000000000004,F2,,QM,,WESTERMANN,06.12.1995,WESTERMANN,06.12.1995,18:32:23,06.12.1995,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000005,F2,,QM,,WESTERMANN,06.12.1995,WESTERMANN,06.12.1995,19:15:47,06.12.1995,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000054,F2,,QM,,WESTERMANN,29.12.1995,WESTERMANN,29.12.1995,14:47:24,29.12.1995,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000055,F2,,QM,,WESTERMANN,29.12.1995,WESTERMANN,29.12.1995,17:22:28,29.12.1995,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000056,F2,Dirty items delivered,QM,3,WESTERMANN,03.01.1996,BARTHEL,13.01.1997,13:38:07,03.01.1996,WESTERMANN,04.01.1996,13:42:46,06.01.1996,13:42:46,,,
800,000000000064,Q1,,QM,1,NAGELS,09.01.1996,BARTHEL,13.01.1997,13:51:59,09.01.1996,NAGELS,09.01.1996,13:51:59,10.01.1996,13:51:59,,,
800,000000000065,Q1,,QM,1,NAGELS,09.01.1996,BARTHEL,13.01.1997,14:21:23,09.01.1996,NAGELS,09.01.1996,14:21:23,10.01.1996,14:21:23,,,
800,000000000074,F2,Scratches on the surface.,QM,,RICKAYZEN,11.01.1996,BARTHEL,13.01.1997,13:12:59,11.01.1996,RICKAYZEN,11.01.1996,13:12:59,00.00.0000,00:00:00,,,
800,000000000075,Q1,,QM,,RICKAYZEN,11.01.1996,BARTHEL,13.01.1997,13:16:42,11.01.1996,RICKAYZEN,11.01.1996,13:16:42,00.00.0000,00:00:00,,,
800,000000000084,Q1,Too impure to use,QM,,RICKAYZEN,12.01.1996,WF-QM-2,12.01.1996,09:37:25,12.01.1996,RICKAYZEN,12.01.1996,09:37:25,00.00.0000,00:00:00,,,
800,000000000085,Q1,Not pure enough,QM,,RICKAYZEN,12.01.1996,BARTHEL,13.01.1997,09:40:01,12.01.1996,RICKAYZEN,12.01.1996,09:40:01,00.00.0000,00:00:00,,,
800,000000000094,Q1,Check the ration of the mix,QM,1,RICKAYZEN,26.03.1996,WF-QM-1,26.03.1996,15:30:56,26.03.1996,RICKAYZEN,26.03.1996,15:30:56,27.03.1996,15:30:56,,,
800,000000000095,Q1,The mix is not correct,QM,,RICKAYZEN,26.03.1996,WF-QM-2,26.03.1996,15:58:13,26.03.1996,RICKAYZEN,26.03.1996,15:58:13,00.00.0000,00:00:00,,,
800,000000000124,F2,Kratzer und Fingerabdrücke festgestellt,QM,2,WESTERMANN,10.05.1996,WESTERMANN,15.05.1996,17:05:40,10.05.1996,WESTERMANN,10.05.1996,17:19:49,14.05.1996,17:19:49,,,
800,000000000144,F3,,QM,,KEILBACH,31.07.1996,BARTHEL,19.12.1996,19:01:55,31.07.1996,KEILBACH,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000154,F2,Wieder keine Handschuhe benutzt!,QM,2,WESTERMANN,12.12.1996,WESTERMANN,12.12.1996,18:35:15,12.12.1996,WESTERMANN,12.12.1996,18:40:53,16.12.1996,18:40:53,,,
800,000000000164,F3,,QM,,BARTHEL,20.12.1996,BARTHEL,20.12.1996,10:36:14,20.12.1996,BARTHEL,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000204,F2,Identification of screws not conforming,QM,3,WESTERMANN,12.04.2000,WESTERMANN,13.04.2000,20:42:34,12.04.2000,WESTERMANN,12.04.2000,20:46:55,17.04.2000,20:46:55,,,
800,000000000205,F2,Missing identification of screws,QM,4,WESTERMANN,12.04.2000,WESTERMANN,13.04.2000,20:48:17,12.04.2000,WESTERMANN,13.04.2000,20:56:07,19.04.2000,20:56:07,,,
800,000000000206,F2,,QM,,WESTERMANN,12.04.2000,,00.00.0000,20:57:41,12.04.2000,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000214,F2,,QM,,WESTERMANN,13.04.2000,,00.00.0000,12:09:25,13.04.2000,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000215,F2,,QM,,WESTERMANN,13.04.2000,WESTERMANN,14.04.2000,15:05:28,13.04.2000,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000216,F2,,QM,,WESTERMANN,13.04.2000,WESTERMANN,13.04.2000,15:22:16,13.04.2000,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000217,F2,,QM,,WESTERMANN,13.04.2000,WESTERMANN,13.04.2000,16:32:19,13.04.2000,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000218,F2,Problem mit Schrauben M8 x 40,QM,2,WESTERMANN,13.04.2000,WESTERMANN,14.04.2000,16:38:36,13.04.2000,WESTERMANN,13.04.2000,16:46:45,17.04.2000,16:46:45,,,
800,000000000219,F2,Zinküberzug porös,QM,3,WESTERMANN,13.04.2000,WESTERMANN,14.04.2000,16:55:23,13.04.2000,WESTERMANN,13.04.2000,17:01:50,18.04.2000,17:01:50,,,
800,000000000220,F2,,QM,,WESTERMANN,13.04.2000,WESTERMANN,13.04.2000,17:13:15,13.04.2000,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000221,F2,,QM,,WESTERMANN,14.04.2000,WESTERMANN,14.04.2000,13:38:57,14.04.2000,WESTERMANN,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000222,F2,Schraubenschaft geringfügig zu lang,QM,,WESTERMANN,14.04.2000,WESTERMANN,14.04.2000,14:04:33,14.04.2000,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000223,F2,,QM,,WESTERMANN,14.04.2000,WESTERMANN,14.04.2000,14:47:07,14.04.2000,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000224,F2,Schrauben haben Grat am Gewindeende,QM,3,WESTERMANN,14.04.2000,WESTERMANN,14.04.2000,19:54:49,14.04.2000,WESTERMANN,14.04.2000,19:58:06,19.04.2000,19:58:06,,,
800,000000000244,F2,Kennzeichnungsproblem,QM,3,WESTERMANN,10.08.2000,WESTERMANN,10.08.2000,14:28:54,10.08.2000,WESTERMANN,10.08.2000,14:34:55,15.08.2000,14:34:55,,,
800,000000000245,F2,,QM,,WESTERMANN,10.08.2000,WESTERMANN,10.08.2000,15:38:59,10.08.2000,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000246,F2,Mängel an Sechskanschrauben,QM,3,WESTERMANN,10.08.2000,WESTERMANN,10.08.2000,16:32:47,10.08.2000,,10.08.2000,16:46:14,15.08.2000,16:46:14,,,
800,000000000247,F2,Mängel an Sechskantschrauben,QM,3,WESTERMANN,11.08.2000,WESTERMANN,11.08.2000,11:54:56,11.08.2000,,11.08.2000,12:11:21,16.08.2000,12:11:21,,,
800,000000000248,F2,Mängel an Sechskantschrauben,QM,3,WESTERMANN,11.08.2000,WESTERMANN,11.08.2000,12:16:49,11.08.2000,,11.08.2000,12:21:04,16.08.2000,12:21:04,,,
800,000000000254,01,Antrag für Büroumzug,SR,,AHLERT,21.09.2000,AHLERT,21.09.2000,15:09:08,21.09.2000,AHLERT,21.09.2000,15:09:08,21.09.2000,15:09:08,,,
800,000000000264,F2,Mangelhafte Oberflächenbehandlung,QM,4,WESTERMANN,04.07.2001,WESTERMANN,04.07.2001,17:52:04,04.07.2001,WESTERMANN,05.07.2001,17:55:05,11.07.2001,17:55:05,,,
