MANDT,QMNUM,QMART,QMTXT,ARTPR,ERNAM,ERDAT,AEDAT,MZEIT,QMDAT,STRMN,STRUR,LTRMN,LTRUR
800,000000000001,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,VAN DIJK,1995-06-02,1996-12-20,18:31:41,1995-06-02,NAT,00:00:00,NAT,00:00:00
800,000000000002,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,JENNER,1995-08-15,1996-12-20,09:50:55,1995-08-15,NAT,00:00:00,NAT,00:00:00
800,000000000003,Q1,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,RICKAYZEN,1995-11-20,NAT,11:21:04,1995-11-20,1995-11-20,11:21:04,NAT,00:00:00
800,000000000004,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,1995-12-06,1995-12-06,18:32:23,1995-12-06,NAT,00:00:00,NAT,00:00:00
800,000000000005,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,1995-12-06,1995-12-06,19:15:47,1995-12-06,NAT,00:00:00,NAT,00:00:00
800,000000000054,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,1995-12-29,1995-12-29,14:47:24,1995-12-29,NAT,00:00:00,NAT,00:00:00
800,000000000055,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,1995-12-29,1995-12-29,17:22:28,1995-12-29,NAT,00:00:00,NAT,00:00:00
800,000000000056,F2,DIRTY ITEMS DELIVERED,QM,WESTERMANN,1996-01-03,1997-01-13,13:38:07,1996-01-03,1996-01-04,13:42:46,1996-01-06,13:42:46
800,000000000064,Q1,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,NAGELS,1996-01-09,1997-01-13,13:51:59,1996-01-09,1996-01-09,13:51:59,1996-01-10,13:51:59
800,000000000065,Q1,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,NAGELS,1996-01-09,1997-01-13,14:21:23,1996-01-09,1996-01-09,14:21:23,1996-01-10,14:21:23
800,000000000074,F2,SCRATCHES ON THE SURFACE.,QM,RICKAYZEN,1996-01-11,1997-01-13,13:12:59,1996-01-11,1996-01-11,13:12:59,NAT,00:00:00
800,000000000075,Q1,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,RICKAYZEN,1996-01-11,1997-01-13,13:16:42,1996-01-11,1996-01-11,13:16:42,NAT,00:00:00
800,000000000084,Q1,TOO IMPURE TO USE,QM,RICKAYZEN,1996-01-12,1996-01-12,09:37:25,1996-01-12,1996-01-12,09:37:25,NAT,00:00:00
800,000000000085,Q1,NOT PURE ENOUGH,QM,RICKAYZEN,1996-01-12,1997-01-13,09:40:01,1996-01-12,1996-01-12,09:40:01,NAT,00:00:00
800,000000000094,Q1,CHECK THE RATION OF THE MIX,QM,RICKAYZEN,1996-03-26,1996-03-26,15:30:56,1996-03-26,1996-03-26,15:30:56,1996-03-27,15:30:56
800,000000000095,Q1,THE MIX IS NOT CORRECT,QM,RICKAYZEN,1996-03-26,1996-03-26,15:58:13,1996-03-26,1996-03-26,15:58:13,NAT,00:00:00
800,000000000124,F2,KRATZER UND FINGERABDRÜCKE FESTGESTELLT,QM,WESTERMANN,1996-05-10,1996-05-15,17:05:40,1996-05-10,1996-05-10,17:19:49,1996-05-14,17:19:49
800,000000000144,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,KEILBACH,1996-07-31,1996-12-19,19:01:55,1996-07-31,NAT,00:00:00,NAT,00:00:00
800,000000000154,F2,WIEDER KEINE HANDSCHUHE BENUTZT!,QM,WESTERMANN,1996-12-12,1996-12-12,18:35:15,1996-12-12,1996-12-12,18:40:53,1996-12-16,18:40:53
800,000000000164,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,BARTHEL,1996-12-20,1996-12-20,10:36:14,1996-12-20,NAT,00:00:00,NAT,00:00:00
800,000000000204,F2,IDENTIFICATION OF SCREWS NOT CONFORMING,QM,WESTERMANN,2000-04-12,2000-04-13,20:42:34,2000-04-12,2000-04-12,20:46:55,2000-04-17,20:46:55
800,000000000205,F2,MISSING IDENTIFICATION OF SCREWS,QM,WESTERMANN,2000-04-12,2000-04-13,20:48:17,2000-04-12,2000-04-13,20:56:07,2000-04-19,20:56:07
800,000000000206,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-12,NAT,20:57:41,2000-04-12,NAT,00:00:00,NAT,00:00:00
800,000000000214,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-13,NAT,12:09:25,2000-04-13,NAT,00:00:00,NAT,00:00:00
800,000000000215,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-13,2000-04-14,15:05:28,2000-04-13,NAT,00:00:00,NAT,00:00:00
800,000000000216,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-13,2000-04-13,15:22:16,2000-04-13,NAT,00:00:00,NAT,00:00:00
800,000000000217,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-13,2000-04-13,16:32:19,2000-04-13,NAT,00:00:00,NAT,00:00:00
800,000000000218,F2,PROBLEM MIT SCHRAUBEN M8 X 40,QM,WESTERMANN,2000-04-13,2000-04-14,16:38:36,2000-04-13,2000-04-13,16:46:45,2000-04-17,16:46:45
800,000000000219,F2,ZINKÜBERZUG PORÖS,QM,WESTERMANN,2000-04-13,2000-04-14,16:55:23,2000-04-13,2000-04-13,17:01:50,2000-04-18,17:01:50
800,000000000220,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-13,2000-04-13,17:13:15,2000-04-13,NAT,00:00:00,NAT,00:00:00
800,000000000221,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-14,2000-04-14,13:38:57,2000-04-14,NAT,00:00:00,NAT,00:00:00
800,000000000222,F2,SCHRAUBENSCHAFT GERINGFÜGIG ZU LANG,QM,WESTERMANN,2000-04-14,2000-04-14,14:04:33,2000-04-14,NAT,00:00:00,NAT,00:00:00
800,000000000223,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-04-14,2000-04-14,14:47:07,2000-04-14,NAT,00:00:00,NAT,00:00:00
800,000000000224,F2,SCHRAUBEN HABEN GRAT AM GEWINDEENDE,QM,WESTERMANN,2000-04-14,2000-04-14,19:54:49,2000-04-14,2000-04-14,19:58:06,2000-04-19,19:58:06
800,000000000244,F2,KENNZEICHNUNGSPROBLEM,QM,WESTERMANN,2000-08-10,2000-08-10,14:28:54,2000-08-10,2000-08-10,14:34:55,2000-08-15,14:34:55
800,000000000245,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,WESTERMANN,2000-08-10,2000-08-10,15:38:59,2000-08-10,NAT,00:00:00,NAT,00:00:00
800,000000000246,F2,MÄNGEL AN SECHSKANSCHRAUBEN,QM,WESTERMANN,2000-08-10,2000-08-10,16:32:47,2000-08-10,2000-08-10,16:46:14,2000-08-15,16:46:14
800,000000000247,F2,MÄNGEL AN SECHSKANTSCHRAUBEN,QM,WESTERMANN,2000-08-11,2000-08-11,11:54:56,2000-08-11,2000-08-11,12:11:21,2000-08-16,12:11:21
800,000000000248,F2,MÄNGEL AN SECHSKANTSCHRAUBEN,QM,WESTERMANN,2000-08-11,2000-08-11,12:16:49,2000-08-11,2000-08-11,12:21:04,2000-08-16,12:21:04
800,000000000254,01,ANTRAG FÜR BÜROUMZUG,SR,AHLERT,2000-09-21,2000-09-21,15:09:08,2000-09-21,2000-09-21,15:09:08,2000-09-21,15:09:08
800,000000000264,F2,MANGELHAFTE OBERFLÄCHENBEHANDLUNG,QM,WESTERMANN,2001-07-04,2001-07-04,17:52:04,2001-07-04,2001-07-05,17:55:05,2001-07-11,17:55:05
800,000000000274,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,HUETT,2001-07-31,NAT,10:15:51,2001-07-31,NAT,00:00:00,NAT,00:00:00
800,000000000275,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,HUETT,2001-07-31,2001-07-31,10:18:42,2001-07-31,NAT,00:00:00,NAT,00:00:00
800,000000000276,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,HUETT,2001-07-31,2001-07-31,10:20:53,2001-07-31,NAT,00:00:00,NAT,00:00:00
800,000000000277,F2,FALSCHLIEFERUNG,QM,HUETT,2001-07-31,2001-08-06,16:35:08,2001-07-31,NAT,00:00:00,NAT,00:00:00
800,000000000284,F2,HARDNESS EXCEEDED SPECIFICATION,QM,D047552,2006-09-19,2006-10-26,13:50:37,2006-09-19,2006-10-27,08:30:00,2006-11-03,08:30:00
800,000000000285,F2,ELECTROPLATING DEFECTS,QM,D047552,2006-09-19,2006-12-14,14:01:20,2006-09-19,2006-10-26,14:15:00,2006-10-31,14:15:00
800,000000000286,F2,NONCONFORMING THREAD LENGTH,QM,D047552,2006-09-19,2006-10-26,14:12:02,2006-09-19,2006-10-26,09:03:13,2006-10-27,09:03:13
800,000000000287,F2,AGAIN NONCONFORMING THREAD LENGTH,QM,D047552,2006-09-19,2006-12-14,14:25:47,2006-09-19,2006-10-26,14:29:26,2006-10-30,14:29:26
800,000000000288,F2,MATERIAL FALSCH BEHANDELT,QM,D047552,2006-09-19,2006-10-26,14:43:50,2006-09-19,2006-10-19,13:00:00,2006-10-23,13:00:00
800,000000000289,F2,KEINE SICHTBAREN FESTIGKEITSANGABEN,QM,D047552,2006-09-19,2006-12-07,14:50:18,2006-09-19,2006-10-16,11:05:00,2006-10-19,11:05:00
800,000000000290,F2,ZUGVERSUCH NICHT BESTANDEN,QM,D047552,2006-09-19,2006-10-26,14:56:47,2006-09-19,2006-10-26,13:00:00,2006-10-31,13:00:00
800,000000000291,F2,GALVANISCHER ÜBERZUG FEHLERHAFT,QM,D047552,2006-09-19,2006-10-26,15:00:22,2006-09-19,2006-10-26,13:45:00,2006-10-31,13:45:00
800,000000000294,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D047552,2006-09-26,2006-10-12,15:11:20,2006-09-26,NAT,00:00:00,NAT,00:00:00
800,000000000295,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D047552,2006-09-26,2006-10-12,15:23:25,2006-09-26,NAT,00:00:00,NAT,00:00:00
800,000000000296,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D047552,2006-09-26,2006-10-12,15:24:17,2006-09-26,NAT,00:00:00,NAT,00:00:00
800,000000000304,F2,SCHRAUBEN MIT FALSCHEN MASSEN,QM,D047552,2006-10-12,2006-10-12,15:46:48,2006-10-12,2006-10-12,15:46:48,2006-10-17,15:46:48
800,000000000314,F2,TENSION TEST FAILED,QM,D047552,2006-10-19,2006-12-14,13:14:39,2006-10-19,2006-10-19,13:14:39,2006-10-23,13:14:39
800,000000000315,F2,IDENTIFICATION NOT COMPLIANT,QM,D047552,2006-10-19,2006-12-14,13:17:00,2006-10-19,2006-10-19,13:17:00,2006-10-24,13:17:00
800,000000000316,F2,VERDRECKTE SCHRAUBEN ANGELIEFERT,QM,D047552,2006-10-19,2006-10-26,13:19:22,2006-10-19,2006-10-20,13:19:22,2006-10-26,13:19:22
800,000000000324,F3,FAULTY DISPLAY PANEL,QM,I044129,2009-03-26,2009-04-08,12:44:59,2007-03-26,2009-03-26,12:44:59,2009-03-30,12:44:59
800,000000000325,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I044129,2009-03-26,2009-04-08,13:21:46,2007-03-26,2009-03-26,13:21:46,2009-03-30,13:21:46
800,000000000326,F2,FAULTY DISPLAY PANEL,QM,I044129,2009-03-26,2009-04-08,13:31:02,2007-03-26,2009-03-26,13:31:02,2009-03-30,13:31:02
800,000000000327,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,2009-04-08,14:04:46,2007-10-27,2009-03-27,14:04:46,NAT,00:00:00
800,000000000328,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2008-11-25,2009-03-27,14:04:46,NAT,00:00:00
800,000000000329,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2008-12-22,2009-03-27,14:04:46,NAT,00:00:00
800,000000000330,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2009-01-19,2009-03-27,14:04:46,NAT,00:00:00
800,000000000331,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2009-02-16,2009-03-27,14:04:46,NAT,00:00:00
800,000000000332,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2009-03-10,2009-03-27,14:04:46,NAT,00:00:00
800,000000000333,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2009-03-15,2009-03-27,14:04:46,NAT,00:00:00
800,000000000334,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2009-03-22,2009-03-27,14:04:46,NAT,00:00:00
800,000000000335,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D050200,2009-03-27,NAT,14:04:46,2009-03-23,2009-03-27,14:04:46,NAT,00:00:00
800,000000000344,YS,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I044286,2009-09-15,NAT,11:22:12,2009-09-15,2009-09-15,11:22:12,NAT,00:00:00
800,000000000345,YS,TEST,QM,I044286,2009-09-15,NAT,11:35:32,2009-09-15,2009-09-15,11:35:32,2009-09-17,11:35:32
800,000000000346,YS,RTRR,QM,I044286,2009-09-15,NAT,11:39:25,2009-09-15,2009-09-15,11:39:25,2009-09-18,11:39:25
800,000000000347,YS,SDWEE,QM,I044286,2009-09-15,NAT,11:42:53,2009-09-15,2009-09-15,11:42:53,2009-09-18,11:42:53
800,000000000348,YS,SDWEE,QM,I044286,2009-09-15,NAT,11:43:41,2009-09-15,2009-09-15,11:43:41,2009-09-18,11:43:41
800,000000000349,YS,RTRR,QM,I044286,2009-09-15,NAT,11:44:25,2009-09-15,2009-09-15,11:44:25,2009-09-18,11:44:25
800,000000000350,YS,TEST,QM,I044286,2009-09-15,NAT,11:45:10,2009-09-15,2009-09-15,11:45:10,2009-09-18,11:45:10
800,000000000351,YS,TEST,QM,I044286,2009-09-15,NAT,11:45:16,2009-09-15,2009-09-15,11:45:16,2009-09-18,11:45:16
800,000000000352,YS,TEST,QM,I044286,2009-09-15,NAT,11:45:56,2009-09-15,2009-09-15,11:45:56,2009-09-18,11:45:56
800,000000000353,YS,ID3 TEST,QM,I044286,2009-09-15,NAT,11:53:05,2009-09-15,2009-09-15,11:53:05,2009-09-17,11:53:05
800,000000000354,YS,ID3 TEST,QM,I044286,2009-09-15,2009-09-15,11:53:35,2009-09-15,2009-09-15,11:53:35,2009-09-17,11:53:35
